"TSN"	"Common Name"	"LeafType"	"LeafArrangement"	"LeafAttachment"	"LeafEdge"	"LeafVeins"	"FlowerType"	"FlowerArrangement"	"FlowerAttachment"	"FlowerSymmetry"	"FlowerPetalNumber"	"FlowerPetalColor"	"FruitType"	"FruitArrangement"	"FruitAttachment"	"FruitColor"	"BarkAttachment"	"BarkTexture"	"BarkColor"	"ThornType"	"ThornArrangement"	"ThornStiffness"	"TendrilType"	"TendrilArrangement"	"TendrilAttach"	"PlantDetails"
"017024"	"club-moss, running"	"needle"	"whorled"	"stemless"	"smooth"	"not visible"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"stemmed"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017028"	"ground-pine"	"scale"				"not visible"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"stemmed"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017029"	"ground-pine, Haberer's"	"scale"	"opposite"	"stemless"	"smooth"	"not visible"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"stemmed"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017037"	"ground-pine, blue"	"scale"	"opposite"	"stemless"	"smooth"	"not visible"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"stemmed"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017152"	"horsetail, field"	"no leaves"	"no leaves"	"no leaves"	"no leaves"	"no leaves"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stem branches whorled;"
"017171"	"fern, dissected grape"	"compound"	"alternate"	"rootstock at soil"	"toothed"	"feather-like"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"single cluster"	"stemmed"	"yellow (spore case)"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017251"	"fern, marsh"	"compound"	"at soil"	"stemmed"	"toothed"	"feather-like"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"leaf back"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017261"	"fern, New York"	"compound"	"at soil"	"stemmed"	"toothed"	"feather-like"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"leaf back"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017413"	"fern, lady"	"compound"	"at soil"	"stemmed"	"toothed"	"feather-like"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"leaf back"	"dark brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017481"	"fern, bulblet bladder"	"compound"	"basal"	"stemmed"	"toothed"	"feather-like"	"no flowers"	"no flower"	"no flowers"	"no flowers"	"no flowers"	"no flower"	"spores"		"leaf back"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
