"TSN"	"Common Name"	"Native?"	"Invasive?"	"Typical Habitat"	"Typical flowering time"	"Typical fruiting time"	"Growth habit"	"Annual, Biennial, Perennial"	"Toxicity"	"Medical Uses"	"Culinary Uses"	"Ornamental Uses"	"Other Uses"	"Status-Local"	"Status-State"	"Status-US"	"Status-Global"	"ECR"	"HHCP"	"LEB"	"UWB"	"WSP"	"AR"
"017024"	"club-moss, running"	"yes"		"moist forests"	"no flowers"	"Mar-Aug"	"herb"	"perennial"	"contain toxic alkaloid"	"leaf tea for postpartum pains, fever, weakness; spores for diarrhea, dysentry, rheumatism, baby powder, herpes, dermatitis"	"no data"	"no data"	"no data"						"yes"				
"017028"	"ground-pine"	"yes"		"open dry woods, meadows"	"no flowers"		"herb"		"e"	"no data"	"no ddata"	"no data"	"no data"						"yes"				
"017029"	"ground-pine, Haberer's"	"yes"		"dry woods"	"no flowers"	"Oct"	"herb"	"perennial"	"no data"	"no data"	"no ddata"	"no data"	"no data"						"yes"				
"017037"	"ground-pine, blue"	"yes"		"coniferous woods"	"no flowers"		"herb"	"perennial"	"no data"	"no data"	"no ddata"	"no data"	"no data"						"yes"				
"017152"	"horsetail, field"	"yes"		"woods, fields, roadsides"	"does not flower"		"herb"	"perennial"	"may disturb thiamine metabolism"	"whole plant used to treat kidney, bladder, diuretic; root for tooth pain, bloody urine, gout, gonorrhea"	"no data"	"no  data"	"no data"					"yes"	"yes"				
"017171"	"fern, dissected grape"	"yes"		"dry or moist open woodsss, fields, pasturess"	"does not flower"	"Aug-Nov"	"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"017251"	"fern, marsh"	"yes"		"streamside, moist sunny meadows, open woodland"	"no flowers"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"017261"	"fern, New York"	"yes"		"mixed woods, swamp margins"	"no flowers"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"017413"	"fern, lady"	"yes"	"no"	"wood ravines, meadows, moist woods"		"Sep"	"herb"	"perennial"	"no data"	"root tea for breast pain, sores, diuretic"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				
"017481"	"fern, bulblet bladder"	"yes"	"no"		"no flowering"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"							"yes"			
"017538"	"wood-fern, intermediate"	"yes"	"no"	"moist woods, swamps"	"no flowers"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"no"	"yes"			
"017637"	"fern, sensitive"	"yes"		"stream banks, wet places"	"no flowers"	"Jun"	"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"017675"	"fern, Christmas"	"yes"		"ravines, shady slopes, wooded stream banks"	"no flowers"	"Jun-Oct"		"perennial"	"no data"	"root tea for fevers, chills, stomach ache, pneumonia;"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				
"018041"	"bald-cypress"	"no"		"swamp, stream banks, lacustrine margins"			"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
